candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles,valid_smiles,candidate_id
carbazole_C2_mono-Me-Ph-B,carbazole,C2,phosphonic acid,mono-Me-Ph-B,alkylaryl carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(C)cc3)cc21,Cc1ccc(-c2ccc3c4ccccc4n(CCP(=O)(O)O)c3c2)cc1,True,VSAM-0039
carbazole_C2_di-Me-Ph,carbazole,C2,phosphonic acid,di-Me-Ph,alkylaryl carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(C)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C)cc4)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0040
carbazole_C2_F/Cl,carbazole,C2,phosphonic acid,F/Cl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Cl)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Cl)ccc21,True,VSAM-0041
carbazole_C2_F/Br,carbazole,C2,phosphonic acid,F/Br,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Br)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(Br)ccc21,True,VSAM-0042
carbazole_C2_F/Me,carbazole,C2,phosphonic acid,F/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O,True,VSAM-0043
carbazole_C2_F/OMe,carbazole,C2,phosphonic acid,F/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O,True,VSAM-0044
carbazole_C2_F/CN,carbazole,C2,phosphonic acid,F/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(F)ccc1n2CCP(=O)(O)O,True,VSAM-0045
carbazole_C2_F/CF3,carbazole,C2,phosphonic acid,F/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21,True,VSAM-0046
carbazole_C2_F/Ph,carbazole,C2,phosphonic acid,F/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccccc3)ccc21,True,VSAM-0047
carbazole_C2_F/Th,carbazole,C2,phosphonic acid,F/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccsc3)ccc21,True,VSAM-0048
carbazole_C2_F/Anisyl,carbazole,C2,phosphonic acid,F/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0049
carbazole_C2_F/F-Ph,carbazole,C2,phosphonic acid,F/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccc(F)cc3)ccc21,True,VSAM-0050
carbazole_C2_F/Cl-Ph,carbazole,C2,phosphonic acid,F/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(-c3ccc(Cl)cc3)ccc21,True,VSAM-0051
carbazole_C2_F/Me-Ph,carbazole,C2,phosphonic acid,F/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(F)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0052
carbazole_C2_Cl/Br,carbazole,C2,phosphonic acid,Cl/Br,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Br)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Br)ccc21,True,VSAM-0053
carbazole_C2_Cl/Me,carbazole,C2,phosphonic acid,Cl/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O,True,VSAM-0054
carbazole_C2_Cl/OMe,carbazole,C2,phosphonic acid,Cl/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O,True,VSAM-0055
carbazole_C2_Cl/CN,carbazole,C2,phosphonic acid,Cl/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCP(=O)(O)O,True,VSAM-0056
