canonical_smiles,name,original_smiles,pce_mean,pce_median,pce_max,record_count,phosphonic acid / phosphonate,carboxylic acid / carboxylate,carbazole core,benzene ring,thiophene ring,C2 alkyl spacer,C3 alkyl spacer,C4 alkyl spacer,C6 alkyl chain,carbonyl group,fluorinated carbon,chlorinated aryl,brominated aryl,Ring count,Aromatic rings,P atoms,N atoms,O atoms,F atoms,Heavy atoms,MolWt,LogP,TPSA,HBA,HBD,FractionCSP3,brics_fragments,pce_group
O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-5PACz,O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,12.556666666666667,12.64,13.27,3,1,0,1,1,0,1,1,1,0,0,0,1,0,3,3,1,1,3,0,24,386.2150000000001,5.449300000000004,62.46,1,2,0.29411764705882354,*CCCCCP(=O)(O)O|*n1c2ccc(Cl)cc2c2cc(Cl)ccc21,middle
O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,BrPZPA,O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,18.15,18.15,18.8,2,1,0,0,1,0,1,1,1,0,0,0,0,1,3,2,1,1,3,0,24,493.15700000000015,5.772200000000003,60.77,3,2,0.25,*CCCCP(=O)(O)O|*N1c2cc(Br)ccc2Sc2ccc(Br)cc21,middle
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,TDPA-Cl,O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,17.35,17.35,17.4,2,1,0,0,1,0,1,1,1,0,0,0,1,0,3,2,1,1,3,0,24,404.25500000000017,5.554000000000003,60.77,3,2,0.25,*CCCCP(=O)(O)O|*N1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,middle
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2ccc(Cl)cc21,TDPA‑Cl,O=P(O)(O)CCCCN1c2cc(Cl)ccc2Sc2cc(Cl)ccc21,17.35,17.35,17.4,2,1,0,0,1,0,1,1,1,0,0,0,1,0,3,2,1,1,3,0,24,404.25500000000017,5.554000000000003,60.77,3,2,0.25,*CCCCP(=O)(O)O|*N1c2ccc(Cl)cc2Sc2ccc(Cl)cc21,middle
O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,4PA-SAcF,O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,19.290000000000003,19.705,20.37,6,1,0,0,1,0,1,1,1,0,0,0,0,0,6,4,1,1,3,0,34,467.50500000000017,6.459100000000006,60.77,2,2,0.1724137931034483,*CCCCP(=O)(O)O|*N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,high
O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,PZPA,O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,18.95,18.95,19.7,2,1,0,0,1,0,1,1,1,0,0,0,0,0,3,2,1,1,3,0,22,335.36500000000007,4.247200000000004,60.77,3,2,0.25,*CCCCP(=O)(O)O|*N1c2ccccc2Sc2ccccc21,high
O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,JJ32,O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,19.21666666666667,19.450000000000003,19.85,6,1,0,0,1,0,1,1,1,0,0,0,0,0,4,3,1,3,3,0,26,387.4010000000001,4.190400000000003,86.55,5,2,0.2222222222222222,*CCCCP(=O)(O)O|*N1c2ccccc2Sc2nc3ccccc3nc21,high
O=P(O)(O)CCCCn1c2cc(-c3ccc(Cl)cc3)ccc2c2ccc(-c3ccc(Cl)cc3)cc21,pCl-ph,O=P(O)(O)CCCCn1c2cc(-c3ccc(Cl)cc3)ccc2c2ccc(-c3ccc(Cl)cc3)cc21,14.14875,15.1,16.1,8,1,0,1,1,0,1,1,1,0,0,0,1,0,5,5,1,1,3,0,35,524.3840000000001,8.393200000000004,62.46,1,2,0.14285714285714285,*CCCCP(=O)(O)O|*c1ccc(Cl)cc1|*c1ccc2c3ccc(*)cc3n(*)c2c1,middle
O=P(O)(O)CCCCn1c2cc(-c3ccc4ccccc4c3)ccc2c2ccc(-c3ccc4ccccc4c3)cc21,N2-PACz,O=P(O)(O)CCCCn1c2cc(-c3ccc4ccccc4c3)ccc2c2ccc(-c3ccc4ccccc4c3)cc21,19.0,19.0,19.0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,7,7,1,1,3,0,41,555.6140000000001,9.392799999999998,62.46,1,2,0.1111111111111111,*CCCCP(=O)(O)O|*c1ccc2c3ccc(*)cc3n(*)c2c1|*c1ccc2ccccc2c1,high
O=P(O)(O)CCCCn1c2cc(-c3cccc(Cl)c3)ccc2c2ccc(-c3cccc(Cl)c3)cc21,mCl-ph,O=P(O)(O)CCCCn1c2cc(-c3cccc(Cl)c3)ccc2c2ccc(-c3cccc(Cl)c3)cc21,17.6625,18.6,19.6,8,1,0,1,1,0,1,1,1,0,0,0,1,0,5,5,1,1,3,0,35,524.3840000000001,8.393200000000004,62.46,1,2,0.14285714285714285,*CCCCP(=O)(O)O|*c1ccc2c3ccc(*)cc3n(*)c2c1|*c1cccc(Cl)c1,middle
