row_id,graph_gate,smiles_gate,tabular_gate,split
492,0.0001306550984736532,0.00030627436353825033,0.9995631575584412,train
493,0.00014331156853586435,0.0003132834390271455,0.9995433688163757,train
494,0.0002188169746659696,0.000410510809160769,0.9993706345558167,train
495,0.00018973842088598758,0.0005289430264383554,0.9992813467979431,train
497,0.00015420305135194212,0.0004651389317587018,0.9993807077407837,train
499,0.00015391090710181743,0.00037425203481689095,0.9994718432426453,train
504,4.974288822268136e-05,0.00029196313698776066,0.9996583461761475,train
507,0.00012472514936234802,0.00045121629955247045,0.9994240999221802,train
510,9.844268788583577e-05,0.0003859711578115821,0.9995156526565552,train
511,0.00498795323073864,0.07015970349311829,0.9248523712158203,train
512,0.009128021076321602,0.07860160619020462,0.9122703671455383,train
514,8.7313586845994e-05,0.0007935097673907876,0.999119222164154,train
515,0.38853123784065247,0.4198189973831177,0.19164973497390747,train
517,0.00010600269888527691,0.0002493952924851328,0.9996445178985596,train
518,0.00022482550411950797,0.0011393286986276507,0.9986358284950256,train
520,0.0001693551312200725,0.00044929052819497883,0.9993813037872314,train
521,0.00012963796325493604,0.00037491173134185374,0.9994953870773315,train
523,0.0009422303992323577,0.0015095273265615106,0.9975482821464539,train
524,0.00025140552315860987,0.0006453079404309392,0.999103307723999,train
526,0.000224345872993581,0.0006038009305484593,0.9991718530654907,train
527,0.00017956621013581753,0.000541134097147733,0.9992793202400208,train
529,0.1724010556936264,0.7113956212997437,0.11620325595140457,train
533,0.9781944155693054,0.004780354909598827,0.017025254666805267,train
534,0.959217369556427,0.005341511685401201,0.0354410856962204,train
535,0.8067509531974792,0.06463616341352463,0.12861278653144836,train
536,0.9711484909057617,0.005314039997756481,0.023537375032901764,train
540,0.9672262072563171,0.005429016426205635,0.027344781905412674,train
2,0.00014644926704932004,0.00022619149240199476,0.9996273517608643,val
3,0.0003118945751339197,0.0003820972633548081,0.9993060827255249,val
4,0.00012741642422042787,0.00045705572119913995,0.9994156360626221,val
14,0.00012451174552552402,0.00041394951404072344,0.9994615912437439,val
20,0.00017138695693574846,0.00038880936335772276,0.9994397759437561,val
21,0.0001409221877111122,0.00042431597830727696,0.999434769153595,val
22,0.00024604436475783587,0.0003767026646528393,0.9993773102760315,val
23,0.0002651749236974865,0.0004270933859515935,0.9993077516555786,val
24,0.00011839882063213736,0.00029858911875635386,0.9995829463005066,val
25,0.00021140556782484055,0.0009069019579328597,0.9988817572593689,val
26,0.00021547080541495234,0.0004383761843200773,0.9993460774421692,val
27,0.00020276266150176525,0.0005906058358959854,0.9992067217826843,val
28,0.0001983229158213362,0.00043870435911230743,0.9993630051612854,val
29,0.0002631550596561283,0.0006154935108497739,0.999121367931366,val
59,0.0004632160416804254,0.0006532181869260967,0.9988835453987122,val
89,0.00017213969840668142,0.00045357400085777044,0.9993743300437927,val
90,0.00015655570314265788,0.00045212588156573474,0.9993913173675537,val
91,0.000418442563386634,0.0009921971941366792,0.9985893368721008,val
92,0.00018679841014090925,0.00043744072900153697,0.9993757605552673,val
93,0.00024246082466561347,0.0004969846922904253,0.9992606043815613,val
94,0.000198485839064233,0.000577744038309902,0.9992238283157349,val
95,0.00019817502470687032,0.00036861622356809676,0.9994332194328308,val
170,0.00015135100693441927,0.0003225983236916363,0.9995261430740356,val
192,0.00014581202412955463,0.0008668064838275313,0.9989873766899109,val
195,0.00019713294750545174,0.0006605920498259366,0.9991422891616821,val
198,0.0003986061201430857,0.0016317364061251283,0.9979695677757263,val
203,0.00015614370931871235,0.00044294018880464137,0.9994008541107178,val
204,0.000373273272998631,0.0004344168701209128,0.9991922974586487,val
205,0.00013425343786366284,0.00035499403020367026,0.9995107650756836,val
206,0.0001374826970277354,0.00023520617105532438,0.9996272325515747,val
207,0.0003125018556602299,0.00041702546877786517,0.999270498752594,val
208,0.0003243348910473287,0.0005875307833775878,0.9990881681442261,val
