name,SMILES,doi,pce,voc,jsc,ff,pce_from_voc_jsc_ff,pce_abs_error,target_flag
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,19.27,0.871,27.95,79.26,19.29541107,0.025411070000000535,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/jacs.5c08124,20.31,0.873,28.83,80.68,20.306018412,0.0039815879999984816,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,20.91,0.898,28.87,80.65,20.908722190000002,0.0012778099999977144,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,20.67,0.905,28.61,79.83,20.669623514999998,0.00037648500000386775,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/jacs.5c08124,18.67,0.851,28.34,77.43,18.674056362,0.0040563620000000356,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,19.63,0.873,28.37,79.24,19.625378723999997,0.004621276000001728,False
MeO-4PACz,COc1ccc2c(c1)c1ccc(OC)cc1n2CCCCP(=O)(O)O,10.31635/ccschem.024.202404707,14.68,0.724,27.95,72.55,14.681072899999997,0.0010728999999969346,False
MeOF-4PACz,COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,10.31635/ccschem.024.202404707,19.16,0.855,28.36,79.03,19.163036339999998,0.0030363399999977503,False
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,10.31635/ccschem.024.202404707,12.6,0.837,27.95,53.88,12.604768020000002,0.004768020000001982,False
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,10.31635/ccschem.024.202404707,13.98,0.837,27.88,59.65,13.919661539999998,0.060338460000002314,False
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,10.31635/ccschem.024.202404707,14.44,0.838,28.01,61.52,14.440208176,0.00020817600000100356,False
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,10.31635/ccschem.024.202404707,14.8,0.839,28.13,62.73,14.804951211,0.004951210999999844,False
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,10.31635/ccschem.024.202404707,15.08,0.837,28.17,63.98,15.085389941999999,0.005389941999998982,False
MeOF-4PACz,COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,10.31635/ccschem.024.202404707,19.48,0.851,28.69,79.78,19.478438582,0.0015614180000014244,False
MeOF-4PACz,COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,10.31635/ccschem.024.202404707,18.33,0.824,28.9,76.96,18.326946559999996,0.0030534400000021833,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,17.12,0.846,27.86,72.64,17.120928384,0.0009283839999980614,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,18.89,0.859,28.62,76.83,18.888332813999998,0.0016671860000023742,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,17.52,0.867,28.99,69.75,17.531195174999997,0.011195174999997448,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,17.76,0.869,28.71,71.18,17.758691082000002,0.0013089179999994371,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,18.04,0.866,28.02,74.28,18.024279695999997,0.015720304000002017,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,19.1,0.873,28.29,77.3,19.090912409999998,0.009087590000003587,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,17.91,0.856,27.6,75.79,17.905842240000005,0.004157759999994681,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,15.48,0.845,25.38,72.2,15.4840842,0.004084199999999427,False
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,10.1039/d4ee04479g,18.77,0.858,28.57,76.54,18.762296124000002,0.007703875999997223,False
"2,6-diMeO-2PACz",COc1ccc2c(c1)c1ccc(OC)cc1n2CCP(=O)(O)O,10.1039/d4ta09141h,15.8,0.84,26.3,71.7,15.839964,0.039963999999999444,False
CBZC4,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,10.1039/d4ta09141h,16.2,0.85,26.8,71.2,16.21936,0.019360000000002486,False
CBZC2,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,10.1039/d4ta09141h,16.4,0.85,26.5,73.0,16.44325,0.043250000000000455,False
MeO-2PACz,COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,10.1039/d5ta02572a,12.5,0.673,27.0,68.8,12.501648,0.0016479999999994277,False
Br-2EPSe,O=P(O)(O)CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21,10.1039/d6el00010j,18.41,0.877,26.695,78.68,18.420180002000002,0.01018000200000202,False
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,18.28,0.865,27.421,76.54,18.154648891,0.12535110900000035,False
