canonical_smiles,name,pce_mean,group,PC1,PC2
O=P(O)(O)CCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,"2,6-diCl-2PACz",17.36,Middle,1.1224957,-1.3083045
O=P(O)(O)CCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-2,17.85,Middle,1.4180378,-1.5046282
O=P(O)(O)CCn1c2cccc(Cl)c2c2c(Cl)cccc21,"4,5-Cl-2PACz",18.796666666666667,High-PCE train,-0.07857793,-0.70907354
O=P(O)(O)CCn1c2ccccc2c2c3ccccc3ccc21,BZCz,18.7,High-PCE train,0.9139446,-0.44626075
O=P(O)(O)CCn1c2ccccc2c2cc(Br)ccc21,3-Br-2PACz,17.333333333333332,Middle,1.4580051,-0.71941507
O=P(O)(O)CCn1c2ccccc2c2cc(Cl)ccc21,1Cl-PACz,19.0,High-PCE train,1.0498872,-0.84933835
O=P(O)(O)CCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCP(=O)(O)O,2PACz-D1,19.44,High-PCE train,1.2913322,-1.0706201
O=P(O)(O)CCn1c2ccccc2c2ccc(Br)cc21,2-Br-2PACz,19.515,High-PCE train,1.4690592,-0.9833017
O=P(O)(O)CCn1c2ccccc2c2ccc(C(F)(F)F)cc21,1CF3-2PACz,17.39,Middle,1.2470763,-1.332736
O=P(O)(O)CCn1c2ccccc2c2ccc(Cl)cc21,1Cl-2PACz,19.575000000000003,High-PCE train,1.1008964,-1.0625439
O=P(O)(O)CCn1c2ccccc2c2ccc(F)cc21,1F-2PACz,17.62,Middle,1.2972741,-1.258662
O=P(O)(O)CCn1c2ccccc2c2ccc(I)cc21,1I-2PACz,18.72,High-PCE train,1.4019688,-1.2670035
O=P(O)(O)CCn1c2ccccc2c2ccccc21,2PACz,16.55982142857143,Middle,0.84869593,-0.8963725
O=P(O)(O)Cc1c(F)c(F)c(F)c(F)c1F,F5BnPA,12.166666666666666,Low-PCE train,-2.1303644,-0.403507
O=P(O)(O)Cc1ccc(C(F)(F)F)cc1,3FMBPA,3.82,Low-PCE train,-1.863066,-0.5820423
O=P(O)(O)Cc1ccccc1,BnPA,16.15,Middle,-1.7386553,-0.27580673
O=P(O)(O)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,JJ37,15.678,Middle,-1.0004313,-1.2404077
O=P(O)(O)c1ccc(-n2c3cc4ccccc4cc3c3c4ccccc4ccc32)cc1,pPhPADCB,17.4425,Middle,-0.99649704,-0.32709914
O=P(O)(O)c1ccc(-n2c3ccccc3c3ccccc32)cc1,p-PhACz,18.3,Middle,-1.3166667,-0.7886267
O=P(O)(O)c1ccc(Br)cc1,BPA,2.7,Low-PCE train,-2.321015,-0.46640828
O=P(O)(O)c1ccc(Cl)cc1,CPA,2.6,Low-PCE train,-2.6719925,-0.5268841
O=P(O)(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1,p-DPAPCz,17.38,Middle,-2.5818691,-0.41006023
O=P(O)(O)c1cccc(-n2c3ccccc3c3ccccc32)c1,m-PhACz,19.44,High-PCE train,-1.1062241,-0.77494144
O=P(O)(O)c1ccccc1,PPA,1.64,Low-PCE train,-2.344818,-0.43192974
O=S(=O)(Cl)c1ccc(Cl)cc1,CBSC,8.95,Low-PCE train,-3.1737225,-0.36405185
O=S(=O)(O)c1ccc(Cl)cc1,CBSA,8.211111111111112,Low-PCE train,-3.1418695,-0.39661482
