feature,target,score,signed_score
FpDensityMorgan1,ff,0.16716834900610972,-0.16716834900610972
Bit_659,ff,0.16461614925164386,-0.16461614925164386
SMR_VSA9,ff,0.16433485002869475,0.16433485002869475
BCUT2D_MRHI,ff,0.16360720613246266,0.16360720613246266
Bit_623,ff,0.1629176616617757,0.1629176616617757
Bit_136,ff,0.1624427868048053,0.1624427868048053
Bit_896,ff,0.1624427868048053,0.1624427868048053
Bit_170,ff,0.16039675698313333,-0.16039675698313333
NumSpiroAtoms,ff,0.15788545406726537,0.15788545406726537
Bit_274,ff,0.15788545406726537,0.15788545406726537
Bit_342,ff,0.15788545406726537,0.15788545406726537
Bit_558,ff,0.15788545406726537,0.15788545406726537
Bit_216,ff,0.1565130207979601,-0.1565130207979601
Bit_543,ff,0.15199221032082583,0.15199221032082583
Bit_65,ff,0.15199096948768842,0.15199096948768842
Bit_675,ff,0.1519720156005797,0.1519720156005797
fr_halogen,ff,0.15125066367736203,-0.15125066367736203
Bit_726,ff,0.1494568170974519,0.1494568170974519
Bit_187,ff,0.14824525927678345,-0.14824525927678345
Bit_700,ff,0.14824525927678345,-0.14824525927678345
Bit_807,ff,0.14816594866298133,0.14816594866298133
Bit_416,ff,0.1479831411862235,0.1479831411862235
Bit_875,ff,0.14785111237381987,0.14785111237381987
PEOE_VSA7,ff,0.1470530887095606,0.1470530887095606
Bit_420,ff,0.14506758829508168,-0.14506758829508168
Bit_591,ff,0.14506758829508168,-0.14506758829508168
Bit_794,ff,0.14506758829508168,-0.14506758829508168
Bit_403,ff,0.14442515695706226,0.14442515695706226
Bit_436,ff,0.14442515695706226,0.14442515695706226
Bit_956,ff,0.14442515695706226,0.14442515695706226
Bit_175,ff,0.14420480004141337,0.14420480004141337
Bit_1008,ff,0.14304624785861356,-0.14304624785861356
PEOE_VSA6,ff,0.14231631991722254,0.14231631991722254
Bit_718,ff,0.14231465244167113,-0.14231465244167113
fr_para_hydroxylation,ff,0.14191353942204693,0.14191353942204693
Bit_314,ff,0.14175175770547982,0.14175175770547982
Bit_745,ff,0.14175175770547982,0.14175175770547982
Bit_782,ff,0.14175175770547982,0.14175175770547982
Bit_868,ff,0.14175175770547982,0.14175175770547982
Bit_986,ff,0.14175175770547982,0.14175175770547982
Bit_987,ff,0.14175175770547982,0.14175175770547982
EState_VSA4,ff,0.14143376091955,0.14143376091955
Bit_62,ff,0.14107373924667357,0.14107373924667357
Bit_241,ff,0.14107373924667357,0.14107373924667357
Bit_318,ff,0.14107373924667357,0.14107373924667357
Bit_554,ff,0.14107373924667357,0.14107373924667357
Bit_854,ff,0.14107373924667357,0.14107373924667357
FpDensityMorgan2,ff,0.1410685768712308,-0.1410685768712308
VSA_EState8,ff,0.14010568815119465,0.14010568815119465
Bit_785,ff,0.1388489322756444,0.1388489322756444
Bit_446,ff,0.1354495076047991,0.1354495076047991
Bit_352,ff,0.13497888871394628,0.13497888871394628
Bit_1011,ff,0.13387666005517537,-0.13387666005517537
NumAliphaticCarbocycles,ff,0.13152259103945907,0.13152259103945907
Bit_561,ff,0.1306658902659681,-0.1306658902659681
Bit_713,ff,0.12961420995046763,-0.12961420995046763
Bit_389,ff,0.12953336467533455,-0.12953336467533455
Bit_82,ff,0.1293173929944728,-0.1293173929944728
Bit_92,ff,0.1293173929944728,-0.1293173929944728
Bit_197,ff,0.1293173929944728,-0.1293173929944728
Bit_450,ff,0.1293173929944728,-0.1293173929944728
Bit_515,ff,0.1293173929944728,-0.1293173929944728
Bit_531,ff,0.1293173929944728,-0.1293173929944728
Bit_555,ff,0.1293173929944728,-0.1293173929944728
Bit_687,ff,0.1293173929944728,-0.1293173929944728
Bit_927,ff,0.1293173929944728,-0.1293173929944728
Bit_128,ff,0.12838910962147934,-0.12838910962147934
VSA_EState7,ff,0.12719413640231783,-0.12719413640231783
Bit_904,ff,0.12699767559354777,-0.12699767559354777
Bit_454,ff,0.12680942180235416,0.12680942180235416
Bit_961,ff,0.12586340279697086,-0.12586340279697086
Bit_530,ff,0.12578289594302522,0.12578289594302522
Phi,ff,0.12483314658955469,0.12483314658955469
Bit_295,ff,0.12479817297804373,-0.12479817297804373
Bit_541,ff,0.12479817297804373,-0.12479817297804373
Bit_634,ff,0.12479817297804373,-0.12479817297804373
Bit_897,ff,0.12479817297804373,-0.12479817297804373
NumHeteroatoms,ff,0.12422646126590232,0.12422646126590232
Bit_36,ff,0.1229832995364542,0.1229832995364542
NumRotatableBonds,ff,0.1224199659048532,0.1224199659048532
NumAliphaticHeterocycles,ff,0.12183109350456908,0.12183109350456908
Bit_588,ff,0.12183109350456908,0.12183109350456908
Bit_7,ff,0.1214422953441684,0.1214422953441684
Bit_194,ff,0.1214422953441684,0.1214422953441684
Bit_945,ff,0.1214422953441684,0.1214422953441684
Bit_60,ff,0.12044157396709322,-0.12044157396709322
Bit_370,ff,0.11765122239371743,-0.11765122239371743
Bit_431,ff,0.11765122239371743,-0.11765122239371743
Bit_549,ff,0.11754927311191368,0.11754927311191368
Bit_644,ff,0.11745691533970483,0.11745691533970483
Bit_598,ff,0.1173807948273448,-0.1173807948273448
Bit_997,ff,0.11711821307621664,0.11711821307621664
Bit_993,ff,0.11693594245650633,-0.11693594245650633
Bit_625,ff,0.11682894098710862,-0.11682894098710862
NumAliphaticRings,ff,0.11666753954456188,0.11666753954456188
MinPartialCharge,ff,0.1151887827478248,0.1151887827478248
Initial_Annealing_Temperature_for_SAM (°C),ff,0.11307202655703756,0.11307202655703756
Bit_297,ff,0.11292401731155043,-0.11292401731155043
Bit_645,ff,0.11292401731155043,-0.11292401731155043
Bit_939,ff,0.1122546814188132,-0.1122546814188132
Bit_916,ff,0.11215852841691433,-0.11215852841691433
Bit_706,ff,0.11205321357700723,0.11205321357700723
Bit_383,ff,0.1119839381847633,0.1119839381847633
Bit_843,ff,0.11076825398430074,-0.11076825398430074
SlogP_VSA10,ff,0.11062380949331468,-0.11062380949331468
Bit_261,ff,0.11008272238474384,0.11008272238474384
Bit_33,ff,0.1086827741889674,0.1086827741889674
Bit_15,ff,0.1085276724034528,0.1085276724034528
Bit_429,ff,0.10817897298576092,-0.10817897298576092
