canonical_smiles,name,pce_mean,pce_group,record_count,anchor_rule,backbone_rule,spacer_rule,x_base,y_base,z_base,x_plot,y_plot,z_plot
O=C(O)c1ccc(Cl)c(Cl)c1,"3,4-CBA",8.7,low,1,Other,Other,Long/other,2,3,3,1.9920236779641587,3.065210110901197,3.0207195792780968
O=C(O)c1ccc(Cl)cc1,CBA,5.5875,low,4,Other,Other,Long/other,2,3,3,1.941189046612623,3.0269465676274105,2.9739659793075095
O=C(O)c1ccc(F)cc1,FBA,4.92,low,2,Other,Other,Long/other,2,3,3,1.9422863149016132,2.9890353471639335,2.8770294752264993
O=C(O)c1ccc([N+](=O)[O-])cc1,NBA,3.757,low,2,Other,Other,Long/other,2,3,3,2.045541495147729,2.9971466231705195,3.0229596838599875
O=C(O)c1cccc(Cl)c1,3-CBA,8.2,low,1,Other,Other,Long/other,2,3,3,2.052027791984241,2.9541648613199425,3.120914514991493
O=C(O)c1ccccc1,BA,3.3699999999999997,low,3,Other,Other,Long/other,2,3,3,2.0380207987813637,3.0312250541037455,2.89262970165587
O=C(O)c1ccccc1Cl,2-CBA,7.4,low,1,Other,Other,Long/other,2,3,3,1.9534143204897914,2.9681511563761456,3.060467960958873
O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOPA,3.4,low,1,P-acid,Other,Short C4,0,3,2,0.016251292614670385,2.9142075965362926,1.9770032343813975
O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F8-SAM,2.61,low,1,P-acid,Other,Short C4,0,3,2,0.008168006639850976,2.9105443697976265,1.9957072957919806
O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-5PACz,12.556666666666667,middle,3,P-acid,Substituted PACz,Short C4,0,1,2,0.015308201771030908,1.0120811542405483,1.9262971042507235
O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,BrPZPA,18.15,middle,2,P-acid,Other,Short C4,0,3,2,0.0610000144563733,3.1105363879487307,1.9765880679350887
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,TDPA-Cl,17.35,middle,2,P-acid,Other,Short C4,0,3,2,0.01565168841422776,3.0111994129501407,2.091003121628927
O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2ccc(Cl)cc21,TDPA‑Cl,17.35,middle,2,P-acid,Other,Short C4,0,3,2,0.04752394941503264,2.9916953171723084,2.0407858669391397
O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,4PA-SAcF,19.290000000000003,high,6,P-acid,Other,Short C4,0,3,2,0.004730534864222403,3.020007829772178,2.121261812378696
O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,PZPA,18.95,high,2,P-acid,Other,Short C4,0,3,2,0.020238357908298893,3.091420121919478,2.0824188322284387
O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,JJ32,19.21666666666667,high,6,P-acid,Other,Short C4,0,3,2,0.04419017580869783,3.0153567750954697,2.0307360675250705
O=P(O)(O)CCCCn1c2cc(-c3ccc(Cl)cc3)ccc2c2ccc(-c3ccc(Cl)cc3)cc21,pCl-ph,14.14875,middle,8,P-acid,PACz core,Short C4,0,2,2,-0.10200090738989666,1.9712350938416383,2.1220754168317453
O=P(O)(O)CCCCn1c2cc(-c3ccc4ccccc4c3)ccc2c2ccc(-c3ccc4ccccc4c3)cc21,N2-PACz,19.0,high,1,P-acid,PACz core,Short C4,0,2,2,-0.022376985145011095,2.0774402097041924,2.030729521111681
O=P(O)(O)CCCCn1c2cc(-c3cccc(Cl)c3)ccc2c2ccc(-c3cccc(Cl)c3)cc21,mCl-ph,17.6625,middle,8,P-acid,PACz core,Short C4,0,2,2,-0.03292608580049569,2.030012950692313,2.057959172375794
O=P(O)(O)CCCCn1c2cc(-c3cccc4ccccc34)ccc2c2ccc(-c3cccc4ccccc34)cc21,N1-PACz,20.0,high,1,P-acid,PACz core,Short C4,0,2,2,-0.04472144937703394,2.1075029194397192,1.9792400332525704
O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,JJ36,16.990000000000002,middle,13,P-acid,PACz core,Short C4,0,2,2,-0.019259957585867862,2.0128264106055336,2.004658207110144
O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,4PAThCz,20.285,high,2,P-acid,PACz core,Short C4,0,2,2,0.10464589178640772,1.914287167779565,1.9511803323689807
O=P(O)(O)CCCCn1c2cc(Br)c3ccccc3c2c2c3ccccc3c(Br)cc21,JJ25,16.35857142857143,middle,7,P-acid,PACz core,Short C4,0,2,2,-0.06060817809852703,1.9042288560528033,2.0692708754216396
O=P(O)(O)CCCCn1c2cc3c(cc2F)c2cc4c(c-3c(c3c2ccc2c3c3ccccc3n2CCCCP(=O)(O)O)n4CCCCP(=O)(O)O)c2ccccc21,3-BPIC,16.439999999999998,middle,2,P-acid,PACz core,Short C4,0,2,2,0.06777948482140367,2.1155649552561875,1.9175187463819594
O=P(O)(O)CCCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,4DBCP,19.0,high,1,P-acid,PACz core,Short C4,0,2,2,-0.11780088401310634,2.1206566004548306,2.0547645239692365
